支付宝交易记录明细查询
账号:[cashkiller123@163.com]
起始日期:[2019-01-01 00:00:00]    终止日期:[2019-10-26 23:17:51]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2019102622001411251405818229	,751266000048180000113629957922119102621100702611	,2019-10-26 21:10:07 ,2019-10-26 21:10:08 ,2019-10-26 21:10:08 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,谊品生鲜            ,北京谊品弘科技有限公司A12007北京谊品生鲜朝阳京旺家园店,2.80    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102622001411251405633384	,981266000048180000113629953622119102621095302610	,2019-10-26 21:09:54 ,2019-10-26 21:09:55 ,2019-10-26 21:09:55 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,谊品生鲜            ,北京谊品弘科技有限公司A12007北京谊品生鲜朝阳京旺家园店,7.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102622001411251405465525	,881266000048180000113629956122119102621072601949	,2019-10-26 21:07:26 ,2019-10-26 21:07:28 ,2019-10-26 21:07:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,谊品生鲜            ,北京谊品弘科技有限公司A12007北京谊品生鲜朝阳京旺家园店,2.50    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102622001411251405738500	,251266000048180000113629956222119102621071101561	,2019-10-26 21:07:11 ,2019-10-26 21:07:13 ,2019-10-26 21:07:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,谊品生鲜            ,北京谊品弘科技有限公司A12007北京谊品生鲜朝阳京旺家园店,17.95   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102622001411251405804635	,221266000048180000113629956122119102621004200215	,2019-10-26 21:00:43 ,2019-10-26 21:00:44 ,2019-10-26 21:00:44 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,谊品生鲜            ,北京谊品弘科技有限公司A12007北京谊品生鲜朝阳京旺家园店,8.86    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102622001411251405269994	,249_201910266445931301861693	,2019-10-26 12:45:08 ,2019-10-26 12:45:09 ,2019-10-26 12:45:09 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杭州青奇科技有限公司      ,单车                  ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102622001411251405269983	,249_201910266445904801094993	,2019-10-26 12:14:10 ,2019-10-26 12:14:11 ,2019-10-26 12:14:11 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,杭州青奇科技有限公司      ,单车                  ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102422001411251404245364	,652017052507338883ZP1188358500301231024	,2019-10-24 01:41:18 ,2019-10-24 01:41:19 ,2019-10-24 01:41:19 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,北京首都高速公路发展有限公司  ,北京首都高速公路发展有限公司店消费   ,5.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102322001411251404225931	,175_201910236443600401085952	,2019-10-23 19:45:55 ,2019-10-23 19:45:56 ,2019-10-23 19:45:56 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,滴滴出行            ,卡券套餐                ,1.00    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102222001111251403844198	,T200P563365319150169295	,2019-10-22 22:40:24 ,2019-10-22 22:40:42 ,2019-10-23 09:48:38 ,淘宝        ,支付宝担保交易         ,足力健旗舰店          ,足力健老人鞋官方旗舰店官网老年爸爸冬季保暖款中老年加绒羊毛鞋,299.00  ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2019102122001111251403488237	,T100P563023111771169295	,2019-10-21 16:09:17 ,2019-10-21 16:09:24 ,2019-10-21 16:09:26 ,淘宝        ,支付宝担保交易         ,中国移动官方旗舰店       ,187-1006-7193 北京 移动手机话费充值100元 快充直充 24小时自动充 快速到帐,99.90   ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2019102122001111251403462745	,T100P563038277096169295	,2019-10-21 16:08:54 ,                    ,2019-10-21 16:08:58 ,淘宝        ,支付宝担保交易         ,中国移动官方旗舰店       ,187-1010-7193 北京 移动手机话费充值100元 快充直充 24小时自动充 快速到帐,99.90   ,        ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
20191021009130101000250078540842	,20191021009130501000250043590480	,2019-10-21 03:02:02 ,2019-10-21 03:02:02 ,2019-10-21 03:02:02 ,支付宝网站     ,即时到账交易          ,华安基金管理有限公司      ,余额宝-自动转入            ,6.70    ,        ,交易成功    ,0.00     ,0.00     ,                    ,资金转移     ,
